,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
105,Los Llanos de Aridane,ES,1596815769,28.66,-17.92,78.8,61,20,9.17
106,Singaraja,ID,1596815769,-8.11,115.09,75.94,73,22,5.5
107,Encruzilhada do Sul,BR,1596815769,-30.54,-52.52,69.57,68,23,4.63
108,Tasiilaq,GL,1596815770,65.61,-37.64,44.6,81,75,8.05
109,La Paz,BO,1596815770,-16.5,-68.15,50.0,21,0,4.7
110,Kedrovyy,RU,1596815770,56.17,91.82,64.4,88,40,2.24
111,Kenai,US,1596815770,60.55,-151.26,52.0,81,90,8.05
112,Ponta do Sol,PT,1596815770,32.67,-17.1,75.0,64,11,3.29
113,Forsytheganj,BY,1596815770,52.63,29.73,73.94,74,81,7.0
114,North Bend,US,1596815770,43.41,-124.22,57.2,82,1,6.67
115,Ulladulla,AU,1596815771,-35.35,150.47,53.01,100,90,10.29
116,Santa Fe,AR,1596815771,-31.63,-60.7,57.0,79,98,3.0
117,Comodoro Rivadavia,AR,1596815570,-45.87,-67.5,48.2,45,0,13.87
118,Zhanakorgan,KZ,1596815771,43.91,67.25,79.74,33,0,8.52
119,Mineiros,BR,1596815771,-17.57,-52.55,81.72,27,0,7.31
120,Vila Franca do Campo,PT,1596815771,37.72,-25.43,75.2,73,40,4.7
121,Antofagasta,CL,1596815771,-23.65,-70.4,60.8,63,36,6.93
122,Yola,NG,1596815771,9.2,12.48,82.17,65,98,7.76
123,Mossamedes,AO,1596815771,-15.2,12.15,73.4,78,40,12.75
124,Flinders,AU,1596815772,-34.58,150.86,57.0,95,99,8.01
125,Basti,IN,1596815772,26.8,82.72,86.83,71,24,3.56
126,Riyadh,SA,1596815772,24.69,46.72,104.0,11,100,13.87
127,Dhārchula,IN,1596815772,29.85,80.53,72.21,75,87,0.72
128,Cape Town,ZA,1596815567,-33.93,18.42,63.0,51,0,12.75
129,Semīrom,IR,1596815772,31.42,51.57,69.3,30,49,9.42
130,Avarua,CK,1596815772,-21.21,-159.78,73.4,94,100,10.29
131,Broome,US,1596815773,42.25,-75.83,71.01,88,20,5.82
132,Bengkulu,ID,1596815773,-3.8,102.27,78.12,89,41,3.85
133,Clyde River,CA,1596815773,70.47,-68.59,42.8,81,75,24.16
134,Atuona,PF,1596815773,-9.8,-139.03,78.01,72,15,24.96
135,Qaanaaq,GL,1596815773,77.48,-69.36,43.32,60,0,2.95
136,Krasnomayskiy,RU,1596815773,57.62,34.41,68.99,70,50,3.13
137,Avera,US,1596815773,33.19,-82.53,86.0,100,90,6.4
138,Ruteng,ID,1596815774,-8.61,120.47,60.98,100,93,1.61
139,Norman Wells,CA,1596815774,65.28,-126.83,59.0,93,90,3.36
140,Leningradskiy,RU,1596815774,69.38,178.42,38.07,91,100,5.08
141,Neuquén,AR,1596815477,-38.95,-68.06,48.2,57,26,5.82
142,Port-Gentil,GA,1596815774,-0.72,8.78,82.4,65,20,12.48
143,Tiznit Province,MA,1596815774,29.58,-9.5,78.78,55,0,9.17
144,Antalaha,MG,1596815774,-14.9,50.28,69.78,78,29,8.88
145,Bredasdorp,ZA,1596815774,-34.53,20.04,62.6,55,0,6.93
146,Semey,KZ,1596815774,50.41,80.23,73.36,42,9,9.46
147,São Filipe,CV,1596815774,14.9,-24.5,79.97,85,57,7.61
148,Marsh Harbour,BS,1596815774,26.54,-77.06,83.86,69,87,6.53
149,Padang,ID,1596815774,-0.95,100.35,78.69,68,86,4.14
150,Longyearbyen,SJ,1596815775,78.22,15.64,55.4,50,9,9.17
151,Chern',RU,1596815775,53.45,36.91,69.49,74,20,7.49
152,Chu,KZ,1596815775,43.6,73.76,82.58,17,27,7.47
153,Nishihara,JP,1596815775,26.18,127.76,84.2,79,40,9.17
154,Binzhou,CN,1596815775,37.37,118.02,73.87,90,78,7.45
155,Thinadhoo,MV,1596815775,0.53,72.93,83.61,79,100,15.12
156,Shingū,JP,1596815775,33.73,135.98,75.56,90,59,6.64
157,Puerto Rico,AR,1596815775,-26.8,-55.02,81.46,33,0,5.35
158,Grants,US,1596815775,35.15,-107.85,71.6,21,40,3.36
159,Bluff,NZ,1596815775,-46.6,168.33,37.99,89,95,4.0
160,Faanui,PF,1596815776,-16.48,-151.75,78.51,77,29,19.66
161,Cam Ranh,VN,1596815776,11.92,109.16,82.4,78,75,1.12
162,Bethel,US,1596815640,41.37,-73.41,73.99,73,75,4.7
163,Teplodar,UA,1596815776,46.51,30.33,96.8,19,0,6.71
164,Miquelon,PM,1596815776,47.1,-56.38,69.8,77,20,18.34
165,Inongo,CD,1596815776,-1.95,18.27,78.85,61,38,2.73
166,Payson,US,1596815480,40.04,-111.73,75.0,28,1,6.93
167,Ilulissat,GL,1596815776,69.22,-51.1,42.8,70,75,10.29
168,Chipata,ZM,1596815776,-13.63,32.65,71.33,39,43,8.48
169,Arraial do Cabo,BR,1596815776,-22.97,-42.03,80.6,64,40,18.34
170,Husavik,IS,1596815777,66.04,-17.34,60.8,55,75,24.16
171,Hong Kong,HK,1596815746,22.29,114.16,84.99,85,100,7.0
172,Tonstad,NO,1596815777,58.66,6.72,73.0,75,81,8.9
173,Grand Gaube,MU,1596815777,-20.01,57.66,64.99,85,51,5.01
174,Bogtong,PH,1596815777,15.75,120.33,77.74,89,100,1.16
175,Gravdal,NO,1596815777,68.12,13.5,62.6,72,75,8.05
176,Charters Towers,AU,1596815777,-20.1,146.27,71.31,56,95,6.55
177,Nabire,ID,1596815777,-3.37,135.48,74.55,91,93,3.87
178,Maningrida,AU,1596815777,-12.07,134.27,71.58,89,35,5.55
179,Montorio al Vomano,IT,1596815777,42.58,13.64,87.01,13,26,5.01
180,Kavieng,PG,1596815777,-2.57,150.8,81.95,74,87,3.0
181,Nikolskoye,RU,1596815777,59.7,30.79,69.8,73,20,13.42
182,Rubtsovsk,RU,1596815778,51.5,81.25,67.73,62,1,7.9
183,Dargaville,NZ,1596815778,-35.93,173.88,53.4,75,19,16.96
184,Ribeira Grande,PT,1596815778,38.52,-28.7,77.0,65,75,12.75
185,Paamiut,GL,1596815778,61.99,-49.67,44.24,92,100,14.41
186,Mponela,MW,1596815778,-13.53,33.74,73.4,33,32,10.29
187,Arman',RU,1596815778,59.7,150.17,54.05,82,12,4.7
188,Gēdo,ET,1596815778,9.02,37.45,53.04,100,100,3.42
189,Takhtamygda,RU,1596815778,54.1,123.57,56.25,88,100,4.5
190,Cayenne,GF,1596815778,4.93,-52.33,86.0,66,71,3.36
191,Vestmannaeyjar,IS,1596815778,63.44,-20.27,51.8,87,75,12.75
192,Coyhaique,CL,1596815778,-45.58,-72.07,39.2,69,92,6.93
193,Debre Birhan,ET,1596815779,9.68,39.53,52.86,94,96,1.88
194,Laguna,US,1596815779,38.42,-121.42,66.0,77,1,3.36
195,Bukama,CD,1596815779,-9.2,25.85,88.7,17,0,4.34
196,Bambanglipuro,ID,1596815779,-7.95,110.28,73.17,85,88,7.45
197,San Quintín,MX,1596815779,30.48,-115.95,70.29,66,0,13.29
198,Kirovskiy,RU,1596815779,45.09,133.51,58.77,97,99,1.54
199,Ketchikan,US,1596815779,55.34,-131.65,55.4,100,90,11.41
200,Esperance,AU,1596815779,-33.87,121.9,41.0,93,48,5.82
201,Airai,TL,1596815779,-8.93,125.41,55.81,100,74,2.3
202,Hervey Bay,AU,1596815779,-25.3,152.85,63.0,94,100,11.01
203,Mandalgovi,MN,1596815779,45.76,106.27,63.28,50,49,17.29
204,Takāb,IR,1596815779,36.4,47.11,68.4,39,11,9.48
205,Goderich,CA,1596815780,43.75,-81.72,73.99,89,0,4.38
206,Alofi,NU,1596815780,-19.06,-169.92,62.6,100,61,2.24
207,Pevek,RU,1596815780,69.7,170.31,34.83,95,100,5.55
208,Mitú,CO,1596815600,1.2,-70.17,71.74,97,97,2.26
209,Severo-Kuril'sk,RU,1596815780,50.68,156.12,51.58,90,100,12.19
210,Tuatapere,NZ,1596815780,-46.13,167.68,37.99,89,94,4.0
211,Dibrugarh,IN,1596815780,27.48,94.9,82.17,89,95,2.82
212,Abnūb,EG,1596815780,27.27,31.15,104.0,23,52,11.41
213,Guanare,VE,1596815780,9.04,-69.74,82.98,82,90,2.08
214,Paita,PE,1596815780,-5.09,-81.11,71.6,64,0,13.87
215,Saldanha,ZA,1596815780,-33.01,17.94,64.4,45,0,11.41
216,Asău,RO,1596815780,46.43,26.4,84.0,48,34,8.59
217,Dukat,RU,1596815781,62.55,155.55,45.32,87,20,2.68
218,Uyuni,BO,1596815640,-20.46,-66.83,53.11,37,0,8.9
219,Isiro,CD,1596815781,2.77,27.62,76.15,73,84,1.28
220,Tomohon,ID,1596815781,1.33,124.84,78.8,78,20,1.12
221,Solnechnyy,RU,1596815781,50.72,136.63,49.53,89,46,4.54
222,Vanavara,RU,1596815781,60.34,102.28,61.5,66,4,6.31
223,Bodø,NO,1596815781,67.28,14.4,69.8,60,51,12.75
224,Kaitangata,NZ,1596815781,-46.28,169.85,39.99,74,55,8.66
225,Provideniya,RU,1596815781,64.38,-173.3,45.1,74,12,2.48
226,Namatanai,PG,1596815781,-3.67,152.43,78.94,81,91,3.76
227,Isla Vista,US,1596815781,34.41,-119.86,72.0,82,1,2.89
228,Zhigansk,RU,1596815782,66.77,123.37,59.29,71,100,13.58
229,Villacarrillo,ES,1596815782,38.12,-3.08,108.0,14,0,10.07
230,Lircay,PE,1596815782,-12.99,-74.72,60.8,31,26,2.24
231,Yorkton,CA,1596815782,51.22,-102.47,66.2,82,75,9.17
232,La Ronge,CA,1596815782,55.1,-105.28,73.4,60,40,6.93
233,Hīrna,ET,1596815782,9.22,41.1,62.65,81,98,0.74
234,Talaya,RU,1596815782,61.38,152.75,50.11,72,0,2.39
235,Okhotsk,RU,1596815782,59.38,143.3,53.83,83,0,2.51
236,Vavozh,RU,1596815489,56.78,51.93,66.02,81,100,8.48
237,Krasnosel'kup,RU,1596815783,65.7,82.47,67.32,65,79,4.81
238,Hofn,IS,1596815783,64.25,-15.21,55.4,82,75,18.34
239,Beidao,CN,1596815783,34.57,105.89,72.91,70,0,2.73
240,Pelym,RU,1596815783,61.01,62.0,72.32,72,23,7.65
241,Timiryazevskiy,RU,1596815783,56.49,84.88,70.0,100,99,3.89
242,Dunedin,NZ,1596815736,-45.87,170.5,41.0,82,76,1.01
243,Kalmar,SE,1596815783,56.66,16.36,77.0,47,74,6.93
244,Marawi,PH,1596815783,8.0,124.29,73.99,93,100,4.0
245,Bathsheba,BB,1596815783,13.22,-59.52,87.8,70,20,21.92
246,Manta,EC,1596815770,-0.95,-80.73,73.4,83,75,4.7
247,Jieshi,CN,1596815784,22.81,115.83,82.26,88,94,5.91
248,Najrān,SA,1596815784,17.49,44.13,95.0,21,40,10.29
249,Jumla,NP,1596815784,29.27,82.18,64.17,72,51,1.9
250,Alice Springs,AU,1596815732,-23.7,133.88,44.6,93,2,7.94
251,Ginda,IN,1596815784,30.69,78.49,67.82,91,99,0.11
252,Fălciu,RO,1596815784,46.3,28.14,90.99,30,56,14.27
253,Luganville,VU,1596815784,-15.53,167.17,75.2,73,40,2.24
254,Bilibino,RU,1596815784,68.05,166.44,38.55,86,84,1.77
255,Tiksi,RU,1596815784,71.69,128.87,51.6,82,84,8.37
256,Atar,MR,1596815784,20.52,-13.05,106.32,7,0,16.49
257,Stolin,BY,1596815785,51.89,26.85,76.32,69,38,7.2
258,Staropesterevo,RU,1596815785,54.5,86.41,60.87,89,100,3.89
259,Yar-Sale,RU,1596815785,66.83,70.83,61.65,66,71,11.1
260,Banda Aceh,ID,1596815785,5.56,95.32,81.95,71,100,11.56
261,Aswān,EG,1596815785,24.09,32.91,103.55,8,0,13.18
262,Aloleng,PH,1596815785,16.13,119.78,78.91,87,100,11.97
263,Jiazi,CN,1596815785,22.88,116.07,81.36,89,94,4.85
264,Champerico,GT,1596815785,14.3,-91.92,82.4,69,75,4.83
265,Anūpgarh,IN,1596815786,29.19,73.21,100.26,36,83,7.7
266,Nantucket,US,1596815549,41.28,-70.1,71.6,83,1,12.75
267,Nandu,CN,1596815786,22.85,110.82,79.09,86,80,2.42
268,Coquimbo,CL,1596815786,-29.95,-71.34,57.2,82,40,2.24
269,Ozinki,RU,1596815786,51.18,49.68,80.67,51,61,13.09
270,Rivadavia,AR,1596815786,-33.19,-68.46,53.6,25,0,3.36
271,Tuktoyaktuk,CA,1596815786,69.45,-133.04,55.4,93,75,12.75
272,Berlevåg,NO,1596815786,70.86,29.09,55.4,76,75,13.87
273,Tura,IN,1596815786,25.52,90.22,77.22,96,94,5.21
274,Rocha,UY,1596815585,-34.48,-54.33,51.75,96,100,9.4
275,Kasulu,TZ,1596815786,-4.58,30.1,84.2,58,5,5.82
276,Touros,BR,1596815787,-5.2,-35.46,82.4,61,40,18.34
277,Yakeshi,CN,1596815787,49.28,120.73,61.34,95,100,14.9
278,Lüderitz,NA,1596815787,-26.65,15.16,80.6,10,0,9.17
279,Srednekolymsk,RU,1596815787,67.45,153.68,51.55,65,100,7.09
280,Boo,SE,1596815787,59.33,18.28,82.4,21,16,9.17
281,Mlandizi,TZ,1596815787,-6.7,38.73,80.6,61,20,11.41
282,Kerema,PG,1596815787,-7.96,145.78,76.23,87,100,5.01
283,Jardim,BR,1596815787,-21.48,-56.14,88.48,20,0,7.47
284,Tamiahua,MX,1596815787,21.27,-97.45,85.69,65,17,5.44
285,Pucallpa,PE,1596815787,-8.38,-74.55,86.0,62,20,8.05
286,Hasaki,JP,1596815788,35.73,140.83,77.0,94,40,2.24
287,Isparta Province,TR,1596815551,38.0,31.0,96.8,20,40,5.82
288,Fairbanks,US,1596815788,64.84,-147.72,53.6,93,90,1.03
289,Nago,JP,1596815788,26.59,127.98,84.2,79,1,8.05
290,Castelo Branco,PT,1596815788,39.82,-7.49,100.99,22,0,1.01
291,Shubarshi,KZ,1596815788,48.59,57.19,78.91,39,85,12.06
292,Bako,ET,1596815788,5.78,36.57,65.37,91,100,2.77
293,Vardø,NO,1596815788,70.37,31.11,53.6,87,75,5.82
294,Summerville,US,1596815788,33.02,-80.18,89.01,66,1,3.76
295,Tyrma,RU,1596815788,50.08,132.17,50.38,87,61,2.59
296,Bambous Virieux,MU,1596815788,-20.34,57.76,69.8,73,40,6.93
297,Batagay-Alyta,RU,1596815788,67.8,130.41,52.38,88,94,3.87
298,Aklavik,CA,1596815789,68.22,-135.01,55.4,93,75,5.82
299,Camopi,GF,1596815789,3.17,-52.32,90.95,48,8,4.5
300,Pilar,BR,1596815789,-9.6,-35.96,78.8,65,75,11.41
301,Karachi,PK,1596815712,24.91,67.08,80.6,94,90,11.41
302,Zeya,RU,1596815789,53.75,127.27,53.98,74,95,2.48
303,Palmer,US,1596815702,42.16,-72.33,73.99,68,75,5.82
304,Samarai,PG,1596815789,-10.62,150.67,78.42,86,100,9.28
305,Lagos,NG,1596815717,6.58,3.75,80.6,74,75,8.05
306,Ryōtsu-minato,JP,1596815789,38.08,138.43,71.6,94,90,2.24
307,Henties Bay,NA,1596815789,-22.12,14.28,63.0,73,0,3.0
308,Carnarvon,AU,1596815790,-24.87,113.63,60.8,72,13,6.69
309,Ouésso,CG,1596815790,1.61,16.05,83.77,61,92,1.66
310,Kibondo,TZ,1596815790,-3.59,30.72,77.25,27,11,3.96
311,Beringovskiy,RU,1596815790,63.05,179.32,50.05,91,100,13.76
312,Laishevo,RU,1596815790,55.4,49.55,73.4,46,51,15.66
313,Maceió,BR,1596815703,-9.67,-35.74,78.8,65,75,11.41
314,Basco,PH,1596815790,20.45,121.97,84.85,75,19,19.3
315,Concepción del Oro,MX,1596815790,24.63,-101.42,66.69,60,1,5.59
316,Kungurtug,RU,1596815790,50.6,97.52,47.32,77,49,1.77
317,Talcahuano,CL,1596815790,-36.72,-73.12,48.2,66,75,4.7
318,Trat,TH,1596815791,12.5,102.5,84.99,74,99,1.92
319,Taoudenni,ML,1596815791,22.68,-3.98,114.19,12,14,8.32
320,Nemuro,JP,1596815791,43.32,145.57,66.29,70,100,17.98
321,Sainte-Marie,RE,1596815791,-20.9,55.55,68.0,64,49,5.82
322,Lumding,IN,1596815791,25.75,93.17,79.07,94,100,4.23
323,Whitehorse,CA,1596815681,60.72,-135.05,48.2,76,75,11.41
324,Bachaquero,VE,1596815791,9.97,-71.15,88.83,63,85,6.78
325,Kabanjahe,ID,1596815791,3.1,98.49,80.6,94,40,4.32
326,Acaraú,BR,1596815791,-2.89,-40.12,88.11,43,13,16.02
327,Vallenar,CL,1596815792,-28.57,-70.76,75.31,32,0,5.17
328,Kyrenia,CY,1596815721,35.34,33.32,98.6,25,0,20.8
329,Sítio Novo do Tocantins,BR,1596815792,-5.52,-47.46,96.46,25,0,7.94
330,San Nicolas,PH,1596815792,18.17,120.6,78.8,100,40,3.36
331,Sabaudia,IT,1596815792,41.3,13.03,86.0,50,15,4.0
332,Sampit,ID,1596815792,-2.53,112.95,74.55,96,71,2.35
333,Kavaratti,IN,1596815792,10.57,72.64,82.6,80,100,19.93
334,Gurupi,BR,1596815792,-11.73,-49.07,90.18,27,0,9.6
335,Khatanga,RU,1596815792,71.97,102.5,57.87,79,99,8.99
336,Basay,PH,1596815793,9.41,122.64,79.81,78,100,3.22
337,Tarbagatay,RU,1596815793,51.48,107.36,62.6,82,75,4.47
338,Bud,US,1596815793,39.45,-86.18,75.99,50,1,9.17
339,Kahului,US,1596815716,20.89,-156.47,78.8,74,1,13.87
340,Burns Lake,CA,1596815793,54.23,-125.75,47.89,79,95,5.12
341,Ballarat,AU,1596815793,-37.57,143.85,46.0,95,100,10.69
342,Zhezkazgan,KZ,1596815793,47.8,67.71,70.36,68,100,13.82
343,Evensk,RU,1596815793,61.95,159.23,52.5,74,1,4.14
344,Cherskiy,RU,1596815793,68.75,161.3,42.93,90,99,8.84
345,Sangmélima,CM,1596815793,2.93,11.98,79.21,60,88,3.96
346,Mehamn,NO,1596815794,71.04,27.85,55.4,76,75,13.87
347,Berbera,SO,1596815794,10.44,45.01,90.41,57,70,10.56
348,Río Gallegos,AR,1596815495,-51.62,-69.22,41.0,44,60,16.11
349,Abu Samrah,SY,1596815794,35.3,37.18,93.06,21,0,14.27
350,Molina,CL,1596815794,-35.12,-71.28,42.8,87,75,5.82
351,College,US,1596815794,64.86,-147.8,53.6,87,75,3.36
352,Pacific Grove,US,1596815794,36.62,-121.92,59.0,92,42,5.37
353,Port-Cartier,CA,1596815794,50.03,-66.87,73.4,56,75,11.41
354,Cap Malheureux,MU,1596815794,-19.98,57.61,64.99,85,52,5.01
355,Ellisras,ZA,1596815795,-23.66,27.74,60.8,52,82,19.95
356,Masuguru,TZ,1596815795,-11.37,38.42,84.22,27,5,2.8
357,Inhambane,MZ,1596815795,-23.86,35.38,68.0,56,75,19.46
358,Udachny,RU,1596815795,66.42,112.4,60.8,77,35,6.71
359,Takoradze,GH,1596815795,4.88,-1.76,76.5,74,100,11.81
360,Haines Junction,CA,1596815795,60.75,-137.51,48.6,66,100,3.09
361,Preobrazheniye,RU,1596815795,42.9,133.91,64.8,87,24,8.75
362,Granada,ES,1596815616,37.19,-3.61,104.0,15,20,14.99
363,Hamilton,US,1596815795,39.18,-84.53,75.99,60,40,10.29
364,Atoka,US,1596815796,34.4,-96.02,86.0,62,1,4.7
365,Traverse City,US,1596815796,44.76,-85.62,77.0,44,1,4.7
366,Olafsvik,IS,1596815796,64.89,-23.71,48.43,87,100,19.28
367,Quincy,US,1596815796,42.25,-71.0,78.01,56,100,4.7
368,Bantogon,PH,1596815796,6.53,124.03,78.96,71,100,7.4
369,Port Augusta,AU,1596815796,-32.5,137.77,44.6,100,40,8.05
370,Pundaguitan,PH,1596815796,6.37,126.17,82.47,75,100,9.78
371,Barranca,PE,1596815507,-10.75,-77.77,63.57,70,60,6.78
372,Kalmunai,LK,1596815796,7.42,81.82,84.13,66,100,4.9
373,Havelock,US,1596815796,34.88,-76.9,84.99,83,1,6.93
374,Satipo,PE,1596815796,-11.25,-74.64,84.9,41,9,3.09
